Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Prometheus / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Gamma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt RS Titan / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Gateway / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Nova / Post 1
Lieutenant,Tactical Systems,Instructor -,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Dy Manager,Dy Manager,Dy Manager Starbase Support Command Delta / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Invictus / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Orion / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Nova / Post 2
Lieutenant,Engineering,Staff Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Prometheus / Post 1
Lieutenant,Hull Systems,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Hull Integrity
Lieutenant Commander,Hull Systems,Staff Officer R&D - Hull Integrity,Training Officer -,Training Officer - Enlisted Technical School / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Atlantis / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Dy Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt USS Vanguard / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Atlantis / Post 2
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt SS Titan / Post 1
Lieutenant,Engineering,Asst Manager Planetary Repair Depot Two,Asst Manager,Asst Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 4
Lieutenant,Hull Systems,Staff Officer SFHQ - Operations Analysis,Staff Officer R&D - Tactical AI,Staff Officer R&D - Tactical AI
Lieutenant Commander,Hull Systems,Staff Officer R&D - Tactical AI,Training Officer -,Training Officer - Fleet Technical Training Center / Post 1
Lieutenant,Engineering,Staff Officer SFHQ - Systems Integration,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Dy Manager,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 4
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Engineering,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt CS Pioneer / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt SS Nova / Post 4
Lieutenant,Engineering,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Alpha,Training Officer -,Training Officer - Systems Design College / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Horizon / Post 1
Lieutenant,Tactical Systems,Staff Officer SFHQ -,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Asst Manager Planetary Repair Depot One,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 5
Lieutenant,Tactical Systems,Staff Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Training Officer -,Training Officer - Advanced Systems College / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Doctrine and Development,Head of Deptt,Head of Deptt CS Atlantis / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Atlantis / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Gateway / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Eclipse / Post 1
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Asst Manager,Training Officer -,Training Officer - Starfleet Science Academy / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Daedalus / Post 3
Lieutenant,Hull Systems,Staff Officer SFHQ - Resource Management,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Hull Systems,Instructor -,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Stealth Systems / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Prometheus / Post 1
Lieutenant,Hull Systems,Staff Officer,Staff Officer,Staff Officer Field HQ - Hull Systems
Lieutenant Commander,Hull Systems,Staff Officer,Staff Officer R&D - Energy Systems,Staff Officer R&D - Energy Systems / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Genesis / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Genesis / Post 2
Lieutenant,Tactical Systems,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Gateway / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Titan / Post 2
Lieutenant,Engineering,Staff Officer SFHQ - Strategic Planning,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Engineering,Asst Manager,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two / Post 1
Lieutenant,Engineering,Instructor -,Dy Manager,Dy Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Dy Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Gamma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt CS Atlantis / Post 5
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt SS Gateway / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Phoenix / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Meridian / Post 1
Lieutenant,Hull Systems,Staff Officer R&D - Deflector Shields,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Hull Systems,Dy Manager,Training Officer -,Training Officer - Starfleet Engineering Academy / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Aegis / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 3
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Asst Manager,Training Officer -,Training Officer - Starfleet Hull School / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Meridian / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Valiant / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt USS Valiant / Post 4
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot One,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Dy Manager,Dy Manager Dockyard Complex Two / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt USS Defiant / Post 2
Lieutenant,Tactical Systems,Asst Manager Hull Repair Yard Beta,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Tactical Systems,Dy Manager,Instructor -,Instructor - Fleet Technical Training Center / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Meridian / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Technical Policy,Head of Deptt,Head of Deptt USS Horizon / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 8
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering
Lieutenant Commander,Engineering,Staff Officer,Head of Deptt,Head of Deptt CS Prometheus / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Orion / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Intrepid / Post 3
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt USS Invictus / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan / Post 2
Lieutenant,Hull Systems,Staff Officer R&D - Tactical AI,Staff Officer R&D - Plasma Systems,Staff Officer R&D - Plasma Systems
Lieutenant Commander,Hull Systems,Staff Officer R&D - Plasma Systems,Staff Officer SFHQ - Strategic Planning,Staff Officer SFHQ - Strategic Planning / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Vanguard / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Titan / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Helios
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Dy Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt RS Genesis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Systems Maintenance Group Sigma / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Gateway
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Beta / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt USS Invictus
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One / Post 1
Lieutenant,Hull Systems,Staff Officer R&D - Nanotech Repair,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Hull Systems,Dy Manager,Staff Officer R&D - Sensors and Communications,Staff Officer R&D - Sensors and Communications
